mpqa-posCount,mpqa-negCount,BingLiu-posCount,BingLiu-negCount,AFINN-posScore,AFINN-negScore,S140-posScore,S140-negScore,NRC-Hash-Sent-posScore,NRC-Hash-Sent-negScore,NRC-10-anger,NRC-10-anticipation,NRC-10-disgust,NRC-10-fear,NRC-10-joy,NRC-10-sadness,NRC-10-surprise,NRC-10-trust,NRC-10-negative,NRC-10-positive,NRC-10-Expanded-anger,NRC-10-Expanded-anticipation,NRC-10-Expanded-disgust,NRC-10-Expanded-fear,NRC-10-Expanded-joy,NRC-10-Expanded-sadness,NRC-10-Expanded-surprise,NRC-10-Expanded-trust,NRC-10-Expanded-negative,NRC-10-Expanded-positive,NRC-Hash-Emo-anger,NRC-Hash-Emo-anticipation,NRC-Hash-Emo-disgust,NRC-Hash-Emo-fear,NRC-Hash-Emo-joy,NRC-Hash-Emo-sadness,NRC-Hash-Emo-surprise,NRC-Hash-Emo-trust,SentiWordnet-posScore,SentiWordnet-negScore,Emoticons-posScore,Emoticons-negScore,Negation-negationCount
2,0,0,0,0,0,0.556,-2.757,0.224,-4.678,0,0,0,0,0,0,0,0,0,0,0.495192,0.370618,0.581495,0.565488,0.203563,0.279928,0.254148,0.515161,2.293552,1.09891,1.147541,0.018275,0.476673,0.127404,0,0.056775,0.373529,0,1.529315,-0.676488,0,0,0
0,0,0,0,0,0,3.347,-0.874,0.57,-1.686,0,0,0,0,0,0,0,0,0,1,0.436708,0.315371,0.485034,0.383633,0.181455,0.554004,0.167029,0.345824,1.694535,0.960972,0.309187,0.202442,1.574977,0.053112,0,0.041469,0.697659,0,0.280258,0,0,-2,0
1,1,1,0,4,0,2.619,-4.788,1.31,-6.289,0,1,0,0,1,0,0,0,0,1,0.882468,0.671977,0.698201,0.833446,0.481662,0.493884,0.441818,0.94085,3.537873,1.907336,1.254279,0.681275,1.67251,0.093679,0.477521,0.362404,1.902945,0.694585,1.044072,-0.5,0,0,1
0,0,0,1,0,-3,4.363,-4.459,1.171,-3.247,0,0,0,0,0,0,0,0,0,0,1.556386,0.608407,1.069766,1.501711,0.46136,0.917453,0.393793,0.721296,4.136384,2.020159,1.306203,0.303984,2.111764,0.595291,0.20886,0,0.022265,0.690573,0.333333,-0.229167,0,0,0
1,0,0,0,0,0,5.315,-2.545,1.101,-3.922,0,0,0,0,0,0,0,0,0,0,1.023,0.690044,0.68611,0.792851,0.60101,0.444278,0.602128,1.008143,3.28372,2.024549,0.973337,0.112872,0.80085,0.229701,0.734361,0.041469,2.315665,0.249683,1.474107,-0.069792,0,0,0
2,1,1,0,2,0,2.837,-1.8,1.695,-7.624,0,0,0,0,0,0,0,0,0,1,1.219266,0.902048,1.363068,1.154624,0.826955,0.530649,0.545856,0.935586,4.676869,2.752724,0.420435,1.645921,2.016526,1.583681,0.649326,0.610057,0.450646,0.599359,1.433333,-1.20034,0,0,0
2,0,0,0,0,0,4.92,-2.602,1.599,-6.739,0,3,0,0,1,0,1,1,0,2,1.644951,1.06181,1.267258,1.574993,0.906884,0.800576,0.803843,1.277635,5.974843,2.683844,1.106407,0.671756,1.820005,0.199015,0.250409,0.132496,0.308063,0.820941,1.173958,-0.479167,0,0,1
0,0,0,1,0,0,5.254,-2.068,0.297,-7.95,1,1,0,0,1,0,1,1,0,1,0.784417,0.920593,0.552238,0.657252,0.762871,0.374918,0.528877,1.167999,2.951219,2.352626,2.253678,0.583661,1.795265,0.15252,0,0.876012,0.145526,0.353657,0.595434,-0.04375,0,0,0
0,0,0,0,0,0,0.881,-1.023,0.702,-2.285,0,0,0,0,0,1,0,0,1,0,0.261581,0.230239,0.170339,0.306816,0.108825,0.190477,0.13838,0.374871,1.023588,0.63376,1.330213,0.084353,0.462708,0,0,0.180885,0.212287,0,0,-0.110417,0,0,0
3,1,4,1,5,-1,5.075,-4.518,1.81,-6.862,0,1,0,0,1,0,1,1,0,1,1.316478,0.861731,1.239372,1.323799,1.117739,0.818231,0.459301,1.554418,4.403644,3.31876,1.520282,0,3.153229,0.650221,0.384625,0.609537,0.500102,0.961359,5.24724,-0.5,0,0,1
0,0,0,0,0,0,3.024,-4.367,4.341,-4.597,0,1,0,0,1,0,1,0,0,2,1.296684,1.291389,0.894051,1.055621,0.872091,0.74656,0.616819,1.063436,4.799756,2.496364,1.156347,0.25332,1.796315,0.457613,1.733415,0.077789,1.154455,0.160952,0.642046,-0.75,0,0,1
